ECU0: LK, ECU0: CC, ECU0: SENSING
3290, ECU0: LK, 0
3300, ECU0: CC, 1
3310, ECU0: CC, 0
3310, ECU0: LK, 1
3330, ECU0: CC, 1
3340, ECU0: CC, 0
3350, ECU0: LK, 0
3360, ECU0: CC, 1
3370, ECU0: CC, 0
3370, ECU0: LK, 1
3390, ECU0: CC, 1
3400, ECU0: CC, 0
3410, ECU0: LK, 0
3420, ECU0: CC, 1
3430, ECU0: CC, 0
3430, ECU0: LK, 1
3450, ECU0: CC, 1
3460, ECU0: CC, 0
3470, ECU0: LK, 0
3480, ECU0: CC, 1
3350, ECU0: SENSING, 1
3360, ECU0: SENSING, 0
3410, ECU0: SENSING, 1
3420, ECU0: SENSING, 0
3490, ECU0: CC, 0
3490, ECU0: LK, 1
3510, ECU0: CC, 1
3520, ECU0: CC, 0
3530, ECU0: LK, 0
3530, ECU0: SENSING, 1
3540, ECU0: CC, 1
3540, ECU0: SENSING, 0
3550, ECU0: CC, 0
3550, ECU0: LK, 1
3570, ECU0: CC, 1
3580, ECU0: CC, 0
3590, ECU0: LK, 0
3600, ECU0: CC, 1
3610, ECU0: CC, 0
3610, ECU0: LK, 1
3630, ECU0: CC, 1
3640, ECU0: CC, 0
3650, ECU0: LK, 0
3660, ECU0: CC, 1
3670, ECU0: CC, 0
3670, ECU0: LK, 1
3690, ECU0: CC, 1
3700, ECU0: CC, 0
3710, ECU0: LK, 0
3720, ECU0: CC, 1
3730, ECU0: CC, 0
3730, ECU0: LK, 1
3750, ECU0: CC, 1
3760, ECU0: CC, 0
3770, ECU0: LK, 0
3780, ECU0: CC, 1
3790, ECU0: CC, 0
3650, ECU0: SENSING, 1
3660, ECU0: SENSING, 0
3710, ECU0: SENSING, 1
3720, ECU0: SENSING, 0
3790, ECU0: LK, 1
3810, ECU0: CC, 1
3820, ECU0: CC, 0
3830, ECU0: LK, 0
3830, ECU0: SENSING, 1
3840, ECU0: CC, 1
3840, ECU0: SENSING, 0
3850, ECU0: CC, 0
3850, ECU0: LK, 1
3870, ECU0: CC, 1
3880, ECU0: CC, 0
3890, ECU0: LK, 0
3900, ECU0: CC, 1
3910, ECU0: CC, 0
3910, ECU0: LK, 1
3930, ECU0: CC, 1
3940, ECU0: CC, 0
3950, ECU0: LK, 0
3960, ECU0: CC, 1
3970, ECU0: CC, 0
3970, ECU0: LK, 1
3990, ECU0: CC, 1
4000, ECU0: CC, 0
4010, ECU0: LK, 0
4020, ECU0: CC, 1
4030, ECU0: CC, 0
4030, ECU0: LK, 1
4050, ECU0: CC, 1
4060, ECU0: CC, 0
4070, ECU0: LK, 0
4080, ECU0: CC, 1
3950, ECU0: SENSING, 1
3960, ECU0: SENSING, 0
4010, ECU0: SENSING, 1
4020, ECU0: SENSING, 0
4090, ECU0: CC, 0
4090, ECU0: LK, 1
4110, ECU0: CC, 1
4120, ECU0: CC, 0
4130, ECU0: LK, 0
4130, ECU0: SENSING, 1
4140, ECU0: CC, 1
4140, ECU0: SENSING, 0
4150, ECU0: CC, 0
4150, ECU0: LK, 1
4170, ECU0: CC, 1
4180, ECU0: CC, 0
4190, ECU0: LK, 0
4200, ECU0: CC, 1
4210, ECU0: CC, 0
4210, ECU0: LK, 1
4230, ECU0: CC, 1
4240, ECU0: CC, 0
4250, ECU0: LK, 0
4260, ECU0: CC, 1
4270, ECU0: CC, 0
4270, ECU0: LK, 1
4290, ECU0: CC, 1
4300, ECU0: CC, 0
4310, ECU0: LK, 0
4320, ECU0: CC, 1
4330, ECU0: CC, 0
4330, ECU0: LK, 1
4350, ECU0: CC, 1
4360, ECU0: CC, 0
4370, ECU0: LK, 0
4380, ECU0: CC, 1
4250, ECU0: SENSING, 1
4260, ECU0: SENSING, 0
4310, ECU0: SENSING, 1
4320, ECU0: SENSING, 0
4390, ECU0: CC, 0
4390, ECU0: LK, 1
4410, ECU0: CC, 1
4420, ECU0: CC, 0
4430, ECU0: LK, 0
4430, ECU0: SENSING, 1
4440, ECU0: CC, 1
4440, ECU0: SENSING, 0
4450, ECU0: CC, 0
4450, ECU0: LK, 1
4470, ECU0: CC, 1
4480, ECU0: CC, 0
4490, ECU0: LK, 0
4500, ECU0: CC, 1
4510, ECU0: CC, 0
4510, ECU0: LK, 1
4530, ECU0: CC, 1
4540, ECU0: CC, 0
4550, ECU0: LK, 0
4560, ECU0: CC, 1
4570, ECU0: CC, 0
4570, ECU0: LK, 1
4590, ECU0: CC, 1
4600, ECU0: CC, 0
4610, ECU0: LK, 0
4620, ECU0: CC, 1
4630, ECU0: CC, 0
4630, ECU0: LK, 1
4650, ECU0: CC, 1
4660, ECU0: CC, 0
4670, ECU0: LK, 0
4680, ECU0: CC, 1
4550, ECU0: SENSING, 1
4560, ECU0: SENSING, 0
4610, ECU0: SENSING, 1
4620, ECU0: SENSING, 0
4690, ECU0: CC, 0
4690, ECU0: LK, 1
4710, ECU0: CC, 1
4720, ECU0: CC, 0
4730, ECU0: LK, 0
4730, ECU0: SENSING, 1
4740, ECU0: CC, 1
4740, ECU0: SENSING, 0
4750, ECU0: CC, 0
4750, ECU0: LK, 1
4770, ECU0: CC, 1
4780, ECU0: CC, 0
4790, ECU0: LK, 0
4800, ECU0: CC, 1
4810, ECU0: CC, 0
4810, ECU0: LK, 1
4830, ECU0: CC, 1
4840, ECU0: CC, 0
4850, ECU0: LK, 0
4860, ECU0: CC, 1
4870, ECU0: CC, 0
4870, ECU0: LK, 1
4890, ECU0: CC, 1
4900, ECU0: CC, 0
4910, ECU0: LK, 0
4920, ECU0: CC, 1
4930, ECU0: CC, 0
4930, ECU0: LK, 1
4950, ECU0: CC, 1
4960, ECU0: CC, 0
4970, ECU0: LK, 0
4980, ECU0: CC, 1
4850, ECU0: SENSING, 1
4860, ECU0: SENSING, 0
4910, ECU0: SENSING, 1
4920, ECU0: SENSING, 0
4990, ECU0: CC, 0
4990, ECU0: LK, 1
5010, ECU0: CC, 1
5020, ECU0: CC, 0
5030, ECU0: LK, 0
5030, ECU0: SENSING, 1
5040, ECU0: CC, 1
5040, ECU0: SENSING, 0
5050, ECU0: CC, 0
5050, ECU0: LK, 1
5070, ECU0: CC, 1
5080, ECU0: CC, 0
5090, ECU0: LK, 0
5100, ECU0: CC, 1
5110, ECU0: CC, 0
5110, ECU0: LK, 1
5130, ECU0: CC, 1
5140, ECU0: CC, 0
5150, ECU0: LK, 0
5160, ECU0: CC, 1
5170, ECU0: CC, 0
5170, ECU0: LK, 1
5190, ECU0: CC, 1
5200, ECU0: CC, 0
5210, ECU0: LK, 0
5220, ECU0: CC, 1
5230, ECU0: CC, 0
5230, ECU0: LK, 1
5250, ECU0: CC, 1
5260, ECU0: CC, 0
5270, ECU0: LK, 0
5280, ECU0: CC, 1
5150, ECU0: SENSING, 1
5160, ECU0: SENSING, 0
5210, ECU0: SENSING, 1
5220, ECU0: SENSING, 0
5290, ECU0: CC, 0
5290, ECU0: LK, 1
5310, ECU0: CC, 1
5320, ECU0: CC, 0
5330, ECU0: LK, 0
5330, ECU0: SENSING, 1
5340, ECU0: CC, 1
5340, ECU0: SENSING, 0
5350, ECU0: CC, 0
5350, ECU0: LK, 1
5370, ECU0: CC, 1
5380, ECU0: CC, 0
5390, ECU0: LK, 0
5400, ECU0: CC, 1
5410, ECU0: CC, 0
5410, ECU0: LK, 1
5430, ECU0: CC, 1
5440, ECU0: CC, 0
5450, ECU0: LK, 0
5460, ECU0: CC, 1
5470, ECU0: CC, 0
5470, ECU0: LK, 1
5490, ECU0: CC, 1
5500, ECU0: CC, 0
5510, ECU0: LK, 0
5520, ECU0: CC, 1
5530, ECU0: CC, 0
5530, ECU0: LK, 1
5550, ECU0: CC, 1
5560, ECU0: CC, 0
5570, ECU0: LK, 0
5580, ECU0: CC, 1
5450, ECU0: SENSING, 1
5460, ECU0: SENSING, 0
5510, ECU0: SENSING, 1
5520, ECU0: SENSING, 0
5590, ECU0: CC, 0
5590, ECU0: LK, 1
5610, ECU0: CC, 1
5620, ECU0: CC, 0
5630, ECU0: LK, 0
5630, ECU0: SENSING, 1
5640, ECU0: CC, 1
5640, ECU0: SENSING, 0
5650, ECU0: CC, 0
5650, ECU0: LK, 1
5670, ECU0: CC, 1
5680, ECU0: CC, 0
5690, ECU0: LK, 0
5700, ECU0: CC, 1
5710, ECU0: CC, 0
5710, ECU0: LK, 1
5730, ECU0: CC, 1
5740, ECU0: CC, 0
5750, ECU0: LK, 0
5760, ECU0: CC, 1
5770, ECU0: CC, 0
5770, ECU0: LK, 1
5790, ECU0: CC, 1
5800, ECU0: CC, 0
5810, ECU0: LK, 0
5820, ECU0: CC, 1
5830, ECU0: CC, 0
5830, ECU0: LK, 1
5850, ECU0: CC, 1
5860, ECU0: CC, 0
